Date,Price,Open,High,Low,Vol.,Change
3-27-2022,44727.00,44542.00,44950.00,44511.00,218.90M,0.40%
3-26-2022,44548.00,44331.00,44818.00,44090.00,196.30M,0.49%
3-25-2022,44331.00,44013.00,45112.00,43622.00,494.09M,0.72%
3-24-2022,44013.00,42911.00,44251.00,42658.00,491.66M,2.57%
3-23-2022,42912.00,42373.00,43027.00,41795.00,433.96M,1.27%
3-22-2022,42373.00,41022.00,43327.90,40893.00,537.06M,3.29%
3-21-2022,41022.00,41282.00,41532.00,40530.00,406.62M,-0.62%
3-20-2022,41276.00,42241.00,42301.00,40922.00,308.45M,-2.27%
3-19-2022,42233.00,41768.00,42386.00,41529.60,224.59M,1.11%
3-18-2022,41767.80,40914.60,42308.40,40234.80,2.31B,2.08%
3-17-2022,40914.80,41118.70,41406.00,40557.80,1.90B,-0.50%
3-16-2022,41118.70,39282.50,41701.60,38953.20,4.47B,4.67%
3-15-2022,39285.70,39673.00,39854.70,38220.90,2.25B,-0.97%
3-14-2022,39671.10,37789.50,39914.30,37613.60,2.33B,4.97%
3-13-2022,37792.40,38813.20,39272.30,37603.40,1.55B,-2.63%
3-12-2022,38814.30,38730.20,39355.30,38666.50,1.11B,0.22%
3-11-2022,38730.20,39422.50,40177.00,38236.40,2.79B,-1.74%
3-10-2022,39416.30,41933.90,42029.10,38603.50,3.62B,-5.99%
3-9-2022,41929.00,38731.50,42538.50,38663.30,3.60B,8.22%
3-8-2022,38744.80,38020.60,39351.50,37886.60,2.67B,1.89%
3-7-2022,38024.80,38420.60,39532.00,37182.10,3.02B,-0.99%
3-6-2022,38403.10,39396.30,39668.10,38115.00,1.93B,-2.52%
3-5-2022,39395.80,39142.80,39600.20,38626.10,1.50B,0.65%
3-4-2022,39142.70,42463.00,42848.70,38594.90,3.21B,-7.82%
3-3-2022,42463.00,43912.80,44077.20,41840.80,74.11K,-3.30%
3-2-2022,43912.80,44420.30,45294.20,43361.30,80.82K,-1.14%
3-1-2022,44420.30,43187.20,44900.50,42876.60,90.67K,2.85%
2-28-2022,43188.20,37707.20,43977.80,37458.90,108.07K,14.59%
2-27-2022,37689.10,39116.60,39838.50,37062.30,66.14K,-3.65%
2-26-2022,39115.50,39221.60,40094.50,38639.10,41.55K,-0.24%
2-25-2022,39209.60,38339.20,39683.70,38042.60,83.78K,2.27%
2-24-2022,38339.20,37250.20,39351.60,34357.40,180.47K,2.99%
2-23-2022,37224.60,38248.20,39194.50,37099.50,64.84K,-2.68%
2-22-2022,38248.20,37018.30,38414.90,36399.60,82.75K,3.32%
2-21-2022,37017.70,38355.00,39444.10,36868.90,91.82K,-3.49%
2-20-2022,38355.00,40089.60,40120.30,38042.20,47.92K,-4.33%
2-19-2022,40090.30,40000.10,40434.30,39666.60,25.78K,0.23%
2-18-2022,40000.10,40532.50,40935.50,39505.00,64.96K,-1.36%
2-17-2022,40552.80,43885.50,44167.10,40103.80,72.63K,-7.59%
2-16-2022,43883.60,44540.90,44552.90,43377.60,41.40K,-1.48%
2-15-2022,44544.40,42550.30,44722.60,42460.10,56.34K,4.69%
2-14-2022,42550.30,42061.10,42799.70,41591.30,53.60K,1.16%
2-13-2022,42061.10,42205.50,42725.10,41880.10,25.88K,-0.34%
2-12-2022,42205.20,42388.40,43006.40,41776.80,37.88K,-0.43%
2-11-2022,42388.40,43519.30,43915.10,42023.40,69.95K,-2.60%
2-10-2022,43521.00,44388.90,45755.20,43242.50,89.69K,-1.96%
2-9-2022,44388.90,44038.20,44800.40,43163.00,50.92K,0.80%
2-8-2022,44038.20,43833.90,45399.80,42705.00,92.88K,0.47%
2-7-2022,43833.90,42385.20,44468.30,41695.40,76.60K,3.40%
2-6-2022,42392.20,41411.90,42614.80,41176.30,31.20K,2.37%
2-5-2022,41412.10,41566.50,41899.80,40963.30,46.32K,-0.37%
2-4-2022,41567.60,37287.80,41689.00,37041.10,95.49K,11.48%
2-3-2022,37287.80,36890.20,37304.30,36297.30,50.35K,1.08%
2-2-2022,36890.20,38711.20,38853.80,36682.30,53.74K,-4.70%
2-1-2022,38709.70,38475.60,39230.00,38037.90,55.20K,0.55%
1-31-2022,38498.60,37923.80,38701.40,36672.80,61.27K,1.53%
1-30-2022,37917.70,38167.50,38313.30,37390.60,34.10K,-0.66%
1-29-2022,38170.80,37736.50,38663.70,37350.20,42.77K,1.13%
1-28-2022,37745.10,37195.60,37995.90,36176.50,69.45K,1.56%
1-27-2022,37164.30,36800.10,37215.40,35543.20,83.52K,0.99%
1-26-2022,36800.40,36962.30,38862.60,36280.00,107.87K,-0.41%
1-25-2022,36950.60,36691.30,37501.80,35729.30,79.68K,0.72%
1-24-2022,36686.30,36268.60,37424.00,32985.60,153.77K,1.15%
1-23-2022,36269.50,35072.90,36513.00,34655.20,70.43K,3.40%
1-22-2022,35075.20,36467.70,36749.80,34116.00,138.09K,-3.84%
1-21-2022,36475.50,40698.10,41104.60,35503.90,155.80K,-10.41%
1-20-2022,40715.90,41683.60,43487.10,40568.30,65.28K,-2.31%
1-19-2022,41677.80,42365.30,42558.00,41160.90,53.77K,-1.62%
1-18-2022,42364.60,42209.90,42674.20,41300.70,47.32K,0.37%
1-17-2022,42209.30,43080.50,43179.60,41559.40,41.44K,-2.02%
1-16-2022,43079.10,43079.20,43462.00,42643.30,28.66K,-0.04%
1-15-2022,43097.00,43073.60,43777.90,42586.10,31.44K,0.06%
1-14-2022,43073.30,42562.20,43435.10,41848.70,50.50K,1.21%
1-13-2022,42560.00,43900.00,44404.70,42337.50,53.42K,-3.05%
1-12-2022,43901.00,42735.00,44243.60,42476.70,53.95K,2.73%
1-11-2022,42733.20,41829.10,43090.20,41287.60,61.78K,2.15%
1-10-2022,41832.20,41848.90,42243.80,39697.00,85.50K,-0.04%
1-9-2022,41848.30,41681.20,42764.40,41260.90,37.51K,0.42%
1-8-2022,41672.00,41551.30,42304.40,40574.30,52.54K,0.30%
1-7-2022,41546.70,43097.90,43127.70,40810.00,88.36K,-3.60%
1-6-2022,43097.50,43431.60,43772.30,42481.10,63.08K,-0.76%
1-5-2022,43425.90,45833.10,47019.40,42535.10,83.74K,-5.26%
1-4-2022,45837.30,46435.70,47505.40,45602.10,55.59K,-1.28%
1-3-2022,46430.20,47293.90,47556.00,45704.00,41.06K,-1.86%
1-2-2022,47311.80,47738.70,47944.90,46718.20,27.02K,-0.89%
1-1-2022,47738.00,46217.50,47917.60,46217.50,31.24K,3.29%
12-31-2021,46219.50,47123.30,48553.90,45693.60,58.18K,-1.92%
12-30-2021,47123.30,46470.70,47901.40,46003.00,60.96K,1.42%
12-29-2021,46461.70,47548.40,48121.70,46127.80,63.92K,-2.28%
12-28-2021,47545.20,50703.40,50703.80,47345.70,74.39K,-6.18%
12-27-2021,50678.20,50783.60,52016.30,50459.00,43.90K,-0.20%
12-26-2021,50779.90,50404.00,51247.00,49527.00,32.34K,0.74%
12-25-2021,50406.40,50789.60,51140.20,50196.80,26.67K,-0.75%
12-24-2021,50786.10,50807.40,51795.30,50428.40,45.97K,-0.03%
12-23-2021,50801.00,48599.60,51355.60,48053.40,56.24K,4.53%
12-22-2021,48599.70,48898.70,49540.30,48449.70,40.89K,-0.62%
12-21-2021,48902.00,46900.10,49306.10,46654.00,57.88K,4.28%
12-20-2021,46895.20,46703.40,47488.90,45577.30,57.53K,0.41%
12-19-2021,46704.50,46855.70,48270.20,46438.40,44.05K,-0.32%
12-18-2021,46856.20,46171.80,47330.20,45513.40,36.93K,1.48%
12-17-2021,46172.20,47630.40,47997.20,45523.80,67.50K,-3.06%
12-16-2021,47628.20,48876.60,49387.80,47543.90,48.20K,-2.54%
12-15-2021,48871.50,48366.20,49477.90,46572.60,80.28K,1.04%
12-14-2021,48366.50,46709.80,48635.00,46338.30,62.54K,3.56%
12-13-2021,46703.60,50075.90,50196.10,45848.20,80.37K,-6.74%
12-12-2021,50081.00,49332.50,50779.20,48670.50,40.30K,1.55%
12-11-2021,49314.50,47138.40,49487.00,46834.00,45.23K,4.62%
12-10-2021,47137.20,47591.70,49974.80,47007.10,68.06K,-0.97%
12-9-2021,47596.60,50477.60,50790.20,47341.90,58.69K,-5.70%
12-8-2021,50473.90,50596.60,51204.70,48700.70,55.59K,-0.24%
12-7-2021,50595.20,50547.40,51918.60,50070.90,56.29K,0.07%
12-6-2021,50562.10,49412.10,50913.30,47237.90,89.68K,2.34%
12-5-2021,49405.50,49196.40,49689.30,47797.80,72.03K,0.43%
12-4-2021,49195.20,53620.70,53847.20,42587.80,168.00K,-8.27%
12-3-2021,53631.50,56495.20,57543.60,52008.90,89.20K,-5.07%
12-2-2021,56496.00,57207.80,57377.50,55807.90,54.94K,-1.25%
12-1-2021,57210.30,56891.70,59064.30,56496.50,66.75K,0.58%
11-30-2021,56882.90,57795.20,59174.40,55936.90,73.66K,-1.58%
11-29-2021,57794.80,57288.10,58855.20,56726.70,58.65K,0.88%
11-28-2021,57291.50,54758.00,57392.30,53448.30,49.28K,4.61%
11-27-2021,54765.90,53747.20,55280.30,53654.30,40.71K,1.93%
11-26-2021,53730.90,58937.30,59151.10,53533.50,104.03K,-8.83%
11-25-2021,58935.10,57167.10,59387.30,57029.80,56.79K,3.08%
11-24-2021,57171.70,57559.40,57697.40,55910.60,56.68K,-0.70%
11-23-2021,57573.20,56304.80,57855.10,55542.50,72.48K,2.25%
11-22-2021,56308.80,58719.70,59288.30,55656.80,76.45K,-4.10%
11-21-2021,58714.30,59724.00,60002.60,58528.30,40.98K,-1.68%
11-20-2021,59717.60,58080.80,59854.60,57435.30,44.53K,2.81%
11-19-2021,58083.40,56908.30,58335.90,55626.30,74.44K,1.98%
11-18-2021,56955.30,60368.20,60936.90,56524.40,100.37K,-5.65%
11-17-2021,60367.80,60074.20,60814.50,58531.90,73.93K,0.46%
11-16-2021,60089.10,63605.10,63605.60,58655.90,115.36K,-5.52%
11-15-2021,63597.90,65514.90,66311.20,63439.50,53.53K,-2.92%
11-14-2021,65508.20,64397.20,65508.20,63608.30,33.98K,1.72%
11-13-2021,64398.60,64133.30,64906.00,63381.40,30.34K,0.41%
11-12-2021,64134.50,64782.60,65449.70,62309.70,63.27K,-1.04%
11-11-2021,64806.70,64922.80,65583.30,64121.90,50.37K,-0.19%
11-10-2021,64932.60,66942.60,68990.60,62951.30,96.21K,-2.95%
11-9-2021,66904.40,67528.70,68493.30,66334.90,66.13K,-0.92%
11-8-2021,67527.90,63276.40,67763.30,63276.40,81.08K,6.72%
11-7-2021,63273.20,61483.80,63273.20,61347.20,34.34K,2.91%
11-6-2021,61483.90,60973.20,61543.20,60093.60,34.89K,0.84%
11-5-2021,60974.30,61411.50,62560.30,60742.40,44.46K,-0.71%
11-4-2021,61412.60,62915.40,63077.60,60742.90,49.91K,-2.39%
11-3-2021,62918.50,63223.50,63508.60,60883.00,61.05K,-0.48%
11-2-2021,63221.70,60912.20,64256.40,60651.50,65.26K,3.79%
11-1-2021,60915.30,61310.10,62430.10,59612.70,61.21K,-0.64%
10-31-2021,61309.60,61842.20,62393.70,60005.70,50.06K,-0.86%
10-30-2021,61840.10,62245.00,62338.50,60786.00,40.51K,-0.65%
10-29-2021,62242.80,60579.90,62952.20,60322.20,63.39K,2.74%
10-28-2021,60582.50,58437.20,62251.30,58128.10,88.47K,3.67%
10-27-2021,58438.10,60312.50,61452.90,58112.60,88.11K,-3.11%
10-26-2021,60310.80,63067.50,63275.10,59907.30,57.13K,-4.37%
10-25-2021,63067.00,60864.30,63694.80,60655.80,51.06K,3.62%
10-24-2021,60866.50,61308.20,61469.90,59523.70,42.67K,-0.73%
10-23-2021,61312.50,60693.20,61728.70,59738.30,37.05K,1.03%
10-22-2021,60690.30,62200.80,63699.70,60055.70,75.69K,-2.44%
10-21-2021,62210.20,66004.60,66616.90,62092.10,105.38K,-5.71%
10-20-2021,65979.10,64276.90,66967.10,63543.70,79.87K,2.65%
10-19-2021,64278.50,62030.20,64454.00,61451.00,80.16K,3.58%
10-18-2021,62056.30,61525.80,62623.60,60026.90,80.15K,0.86%
10-17-2021,61527.50,60865.50,61651.40,59143.40,53.39K,1.09%
10-16-2021,60861.10,61669.20,62329.20,60161.90,49.93K,-1.32%
10-15-2021,61672.50,57348.20,62892.80,56874.80,121.48K,7.54%
10-14-2021,57345.80,57370.40,58506.50,56866.80,59.84K,-0.06%
10-13-2021,57380.10,56014.50,57697.40,54314.40,73.62K,2.44%
10-12-2021,56015.90,57480.60,57635.70,54155.40,74.85K,-2.54%
10-11-2021,57477.30,54686.90,57814.10,54457.80,73.84K,5.10%
10-10-2021,54687.70,54942.50,56432.20,54100.80,104.43K,-0.46%
10-9-2021,54942.50,53924.10,55430.80,53711.70,64.65K,1.91%
10-8-2021,53914.70,53785.50,55977.90,53659.30,64.05K,0.24%
10-7-2021,53783.90,55325.20,55325.60,53476.40,75.68K,-2.78%
10-6-2021,55323.20,51470.00,55676.10,50439.50,116.26K,7.49%
10-5-2021,51469.30,49229.50,51872.40,49060.10,76.63K,4.55%
10-4-2021,49227.30,48200.40,49481.70,46958.60,66.92K,2.13%
10-3-2021,48200.10,47665.40,49165.20,47123.00,42.41K,1.12%
10-2-2021,47666.90,48147.20,48306.90,47451.70,39.82K,-1.00%
10-1-2021,48146.00,43824.40,48435.20,43292.90,94.66K,9.86%
9-30-2021,43823.30,41534.50,44101.20,41416.70,64.32K,5.50%
9-29-2021,41536.80,41023.10,42571.20,40815.00,48.21K,1.25%
9-28-2021,41022.30,42169.90,42758.80,40906.40,60.01K,-2.73%
9-27-2021,42172.60,43200.90,44293.20,42143.90,54.12K,-2.39%
9-26-2021,43203.40,42685.80,43907.30,40786.60,69.91K,1.21%
9-25-2021,42686.80,42818.70,42959.30,41714.50,46.35K,-0.31%
9-24-2021,42819.90,44867.40,45112.00,40908.50,128.88K,-4.57%
9-23-2021,44869.20,43550.70,44949.80,43090.10,74.54K,3.03%
9-22-2021,43551.60,40660.80,43976.70,40585.70,93.98K,7.13%
9-21-2021,40651.30,43012.30,43619.30,39646.80,142.55K,-5.18%
9-20-2021,42870.60,47240.80,47323.90,42547.10,77.96K,-9.25%
9-19-2021,47238.70,48299.90,48341.90,46866.60,41.98K,-2.21%
9-18-2021,48306.70,47283.90,48761.00,47070.50,43.64K,2.17%
9-17-2021,47282.80,47748.20,48155.90,46788.80,50.16K,-0.97%
9-16-2021,47748.00,48132.30,48480.60,47040.30,60.91K,-0.80%
9-15-2021,48130.60,47070.80,48436.50,46743.90,63.40K,2.24%
9-14-2021,47077.50,44950.20,47247.60,44718.70,65.33K,4.73%
9-13-2021,44949.50,46060.80,46807.70,43463.20,96.15K,-2.42%
